,title,subtitle,link
36,NO GO BRO,Chelsea ‘REFUSING to sell Armando Broja club prepare for talks with star’,https://www.thesun.co.uk/sport/football/19353154/chelsea-west-ham-broja-bid-transfer/
37,GEORDIE POOR,Newcastle take out £75m LOAN despite being world's richest club with £492bn,https://www.thesun.co.uk/sport/football/19340986/newcastle-loan-richest-club-cash/
38,SUPER DEAL,England vs Germany Euros final: Get £30 FREE BETS with Sky Bet -18+ T&Cs apply,https://www.thesun.co.uk/sport/betting-tips/17804593/sky-bet-free-bet-euro-2022-new-customers-england/
39,FREE BONUS,Sign up to Sun Vegas now for a £10 bonus – with NO deposit required!,https://www.thesun.co.uk/sun-bingo/15204465/free-bets-sun-vegas-no-deposit/
40,CASH BACK,England vs Germany: Get Money back as CASH up to £20 if you lose with Paddy Power,https://www.thesun.co.uk/sport/betting-tips/17372478/paddy-power-free-bets-offer-euro-2022-football-womens/
41,ARSENAL NEWS,"Tielemans deal AGREED, KSI and Logan Paul ANNOUNCED as sponsors, Icardi latest",https://www.thesun.co.uk/sport/19348563/arsenal-transfer-news-live-tielemans-logan-paul-ksi-icardi/
42,CHELSEA LATEST,"Wesley Fofana deal AGREED, Kounde reveals reason for Blues snub",https://www.thesun.co.uk/sport/19207345/chelsea-transfer-news-live-wesley-fofana-kounde-zaha/
43,RED DEVILS LATEST,"Ronaldo Sporting loan talks, £72m De Jong will sign - United believe",https://www.thesun.co.uk/sport/19259195/man-utd-transfer-news-live-cristiano-ronaldo-frenkie-de-jong-trippier/
44,FINAL COUNTDOWN,England's Lionesses seek to end poor record against Germans in Euros final,https://www.thesun.co.uk/sport/19347400/england-vs-germany-lionesses-reverse-record-germans-euros/
45,YOU DE BEST,England keeper Mary Earps inspired by texts from Man Utd star David de Gea,https://www.thesun.co.uk/sport/19354274/mary-earps-david-de-gea-england/
46,LIONESS RAIDERS,Burglars target family of a Lionesses star while they were at semi-final,https://www.thesun.co.uk/sport/19340672/georgia-stanway-burgled-england-women/
47,POPP STAR,England to face Germany in Euro 2022 final after captain Popp scores twice,https://www.thesun.co.uk/sport/19341041/england-vs-germany-euro-2022-final-france-popp/
48,DRESSED & IMPRESSED,Sarina Wiegman’s power suit rivals Gareth Southgate's famous waistcoat,https://www.thesun.co.uk/sport/19335461/england-sarina-wiegman-euro-2022-power-suit/
49,CRIS CROTCH,Ronaldo shows ripped physique in CR7 briefs with cryptic message amid quit saga,https://www.thesun.co.uk/sport/19331971/cristiano-ronaldo-ripped-physique-cr7-briefs/
50,CHECK LIS OUT,Man Utd's Lisandro Martinez dines out with stunning girlfriend Muri Lopez,https://www.thesun.co.uk/sport/19318537/man-utd-lisandro-martinez-girlfriend-muri-lopez/
51,ALL IN,Everton star Dele Alli and girlfriend Cindy Kimberly splash out at Selfridges,https://www.thesun.co.uk/sport/football/19317899/everton-dele-alli-cindy-kimberly-chanel-selfridges/
52,MARK IRWIN,Tuchel’s made NO attempt to hide his anger & Blues tenure could end in divorce,https://www.thesun.co.uk/sport/19354270/mark-irwin-tuchel-anger-chelsea/
53,TIM VICKERY,"Barça's history of Brazilians continues with Raphinha, after Coutinho & Ronaldo",https://www.thesun.co.uk/sport/19250038/barcelona-brazil-raphinha-ronaldo-coutinho/
54,DAVE KIDD,Tottenham finally ready to shed 'Spursy' tag as Conte brings in quality early,https://www.thesun.co.uk/sport/19165277/tottenham-shed-spursy-tag-antonio-conte-transfer/
55,TOAD IN THE GOAL,Football team to sport toad-in-the-hole themed kits for new season,https://www.thesun.co.uk/sport/19353610/football-team-sport-toad-in-hole-kit/
56,POCKET ROCKET MAN,Meet world's shortest footballer nearly arrested posing with female fans,https://www.thesun.co.uk/sport/football/11454539/elton-arabia-worlds-smallest-footballer/
57,LOVE IN,Celtic icon Chris Sutton predicts Love Island winners as fans all say same thing,https://www.thesun.co.uk/sport/19309190/celtic-chris-sutton-love-island-winners-hoops-fans/
58,RIP,Arsenal pay tribute to late superfan Maria Petri with black armbands vs Chelsea,https://www.thesun.co.uk/sport/19309167/arsenal-tribute-superfan-maria-petri-death-black-armbands/
59,BABY JOY,"I thought I had Covid, it turned out I was pregnant reveals Wag Summer Harl",https://www.thesun.co.uk/sport/football/19309422/covid-pregnant-scotland-wag-summer-harl/
